MIN,MAX,Enemy,Weight,出現エリア想定,出現確率
1,1,スライムLv.1,100,1,26.32%
1,1,マタンゴLv.1,100,1,26.32%
1,1,アーリマンLv.1,100,2,26.32%
1,1,ゴブリンLv.1,80,3,21.05%
2,3,ゴブリンLv.1,100,3,50.00%
2,3,ゾンビLv.1,100,4,50.00%
4,6,バットLv.1,100,5,32.26%
4,6,ゴーストLv.1,100,6,32.26%
4,6,スライムLv.2,60,7,19.35%
4,6,火薬学士Lv.1,50,6,16.13%
7,8,コボルトLv.1,100,8,26.32%
7,8,火薬学士Lv.1,100,6,26.32%
7,8,スライムLv.2,100,7,26.32%
7,8,タイタンLv.1,80,9,21.05%
9,10,タイタンLv.1,100,9,24.39%
9,10,大蛇Lv.1,100,10,24.39%
9,10,ケットシーLv.1,100,10,24.39%
9,10,アーリマンLv.2,100,11,24.39%
9,10,ウンディーネLv.1,10,10,2.44%
11,12,アメーバLv.1,100,12,28.57%
11,12,リザードマンLv.1,100,13,28.57%
11,12,マタンゴLv.2,60,14,17.14%
11,12,ケットシーLv.1,80,10,22.86%
11,12,ウンディーネLv.1,10,10,2.86%
13,14,リザードマンLv.1,100,13,47.62%
13,14,マタンゴLv.2,100,14,47.62%
13,14,ウンディーネLv.1,10,10,4.76%
15,16,吸血草Lv.1,100,16,39.06%
15,16,ビショップLv.2,100,16,39.06%
15,16,マタンゴLv.2,50,14,19.53%
15,16,ウンディーネLv.1,6,10,2.34%
17,19,サムライLv.1,100,17,20.00%
17,19,バットLv.2,100,19,20.00%
17,19,バロールLv.1,100,19,20.00%
17,19,ピクシーLv.1,100,18,20.00%
17,19,コボルトLv.1,50,8,10.00%
17,19,吸血草Lv.1,50,16,10.00%
20,21,ゾンビLv.2,100,20,28.57%
20,21,動く甲冑Lv.1,100,20,28.57%
20,21,トロールLv.1,100,21,28.57%
20,21,マタンゴLv.3,50,24,14.29%
22,23,狼Lv.2,100,22,40.00%
22,23,トロールLv.1,50,21,20.00%
22,23,死神Lv.1,100,23,40.00%
24,25,ゴブリンLv.2,100,25,35.71%
24,25,サモナーLv.1,30,26,10.71%
24,25,大蛇Lv.2,100,24,35.71%
24,25,マタンゴLv.3,50,24,17.86%
26,27,ハルピュイアLv.1,100,27,27.78%
26,27,サモナーLv.1,100,26,27.78%
