ItemMasterID,ItemProbability,出現確率
帰還の石,50,1.96%
こん棒,50,1.96%
鉄の剣,50,1.96%
鋼の剣,50,1.96%
鋼鉄の剣,50,1.96%
蛇の剣,50,1.96%
蜻蛉切,50,1.96%
パルチザン,50,1.96%
七星剣,50,1.96%
キセル,50,1.96%
ククリ,50,1.96%
懐刀,50,1.96%
世界樹の杖,50,1.96%
ワザモノツルギ,50,1.96%
ヘドロの剣,30,1.18%
惑わしの杖,30,1.18%
恐喝剣,30,1.18%
六芒星の剣,30,1.18%
幸運の剣,30,1.18%
ガラドール,50,1.96%
銭刀,50,1.96%
十手,50,1.96%
鍛錬の剣,30,1.18%
木の盾,50,1.96%
鉄の盾,50,1.96%
鋼の盾,50,1.96%
鋼鉄の盾,50,1.96%
ヒーターシールド,50,1.96%
カイトシールド,50,1.96%
回復の盾,50,1.96%
タージェ,50,1.96%
軍配団扇,50,1.96%
ライオットシールド,50,1.96%
剣盾,50,1.96%
身かわしの盾,50,1.96%
免疫の盾,50,1.96%
ミラーシールド,50,1.96%
鍛錬の盾,30,1.18%
小判盾,50,1.96%
ワクチンの盾,50,1.96%
カフェインの盾,50,1.96%
ガマ油の盾,50,1.96%
メッキの盾,50,1.96%
桃太郎の盾,30,1.18%
六芒星の盾,30,1.18%
司令塔の盾,30,1.18%
ガラスのネックレス,50,1.96%
ルビーのネックレス,50,1.96%
ダイヤのネックレス,50,1.96%
増進の指輪,50,1.96%
軍神の指輪,50,1.96%
白盾の指輪,50,1.96%
糸通師の指輪,50,1.96%
舞踊の指輪,50,1.96%
打ち出の小槌,50,1.96%
