MIN,MAX,Probability,ItemMasterID,ItemProbability,出現確率
5,90,18,鉄の剣,80,2.02%
5,90,18,鋼の剣,80,2.02%
5,90,18,鋼鉄の剣,80,2.02%
5,90,18,怪剣シュテンドウジ,15,0.38%
5,90,18,大器の剣,15,0.38%
5,90,18,蛇の剣,70,1.77%
5,90,18,蜻蛉切,70,1.77%
5,90,18,パルチザン,70,1.77%
5,90,18,見極めの剣,70,1.77%
5,90,18,キセル,70,1.77%
5,90,18,懐刀,70,1.77%
5,90,18,世界樹の杖,70,1.77%
5,90,18,七星剣,70,1.77%
5,90,18,ワザモノツルギ,70,1.77%
5,90,18,ククリ,70,1.77%
5,90,18,ヘドロの剣,70,1.77%
5,90,18,惑わしの杖,70,1.77%
5,90,18,恐喝剣,70,1.77%
5,90,18,六芒星の剣,70,1.77%
5,90,18,幸運の剣,70,1.77%
5,90,18,ガラドール,70,1.77%
5,90,18,鍛錬の剣,70,1.77%
5,90,18,銭刀,70,1.77%
5,90,18,十手,70,1.77%
5,90,18,妖刀イマツルギ,15,0.38%
5,90,18,鉄の盾,80,2.02%
5,90,18,鋼の盾,80,2.02%
5,90,18,鋼鉄の盾,80,2.02%
5,90,18,金剛タマモノマエ,15,0.38%
5,90,18,大器の盾,15,0.38%
5,90,18,再生の盾,70,1.77%
5,90,18,ヒーターシールド,70,1.77%
5,90,18,カイトシールド,70,1.77%
5,90,18,回復の盾,70,1.77%
5,90,18,タージェ,70,1.77%
5,90,18,軍配団扇,70,1.77%
5,90,18,ライオットシールド,70,1.77%
5,90,18,剣盾,70,1.77%
5,90,18,身かわしの盾,70,1.77%
5,90,18,免疫の盾,70,1.77%
5,90,18,ミラーシールド,70,1.77%
5,90,18,鍛錬の盾,70,1.77%
5,90,18,小判盾,70,1.77%
5,90,18,ワクチンの盾,70,1.77%
5,90,18,カフェインの盾,70,1.77%
5,90,18,ガマ油の盾,70,1.77%
5,90,18,メッキの盾,70,1.77%
5,90,18,桃太郎の盾,70,1.77%
5,90,18,六芒星の盾,70,1.77%
5,90,18,司令塔の盾,70,1.77%
5,90,18,ルビーのネックレス,50,1.26%
5,90,18,ダイヤのネックレス,50,1.26%
5,90,18,増進の指輪,50,1.26%
5,90,18,軍神の指輪,50,1.26%
5,90,18,白盾の指輪,50,1.26%
5,90,18,糸通師の指輪,50,1.26%
5,90,18,舞踊の指輪,50,1.26%
5,90,18,打ち出の小槌,50,1.26%
5,90,18,矛盾の指輪,15,0.38%
5,90,18,千年時計,15,0.38%
5,90,18,木の矢,50,1.26%
5,90,18,鉄の矢,50,1.26%
5,90,18,ショットガン,50,1.26%
5,90,18,SAA,50,1.26%
5,90,18,爆弾,50,1.26%
99,99,100,レーヴァテイン,100,50.00%
99,99,100,アイギスの盾,100,50.00%
