MIN,MAX,Enemy,Weight,出現エリア想定,出現確率
1,2,ウンディーネLv.1,5,10,1.23%
1,2,スライムLv.2,100,7,24.69%
1,2,火薬学士Lv.1,100,6,24.69%
1,2,大蛇Lv.1,100,10,24.69%
1,2,狼Lv.1,100,10,24.69%
3,5,ウンディーネLv.1,3,10,0.98%
3,5,ウンディーネLv.2,3,15,0.98%
3,5,マタンゴLv.2,100,14,32.68%
3,5,吸血草Lv.1,100,16,32.68%
3,5,サムライLv.1,100,17,32.68%
6,8,ウンディーネLv.1,3,10,0.69%
6,8,ウンディーネLv.2,3,15,0.69%
6,8,バットLv.2,150,19,34.40%
6,8,ゾンビLv.2,100,20,22.94%
6,8,リザードマンLv.1,100,13,22.94%
6,8,吸血草Lv.1,80,16,18.35%
9,12,ウンディーネLv.1,3,10,0.72%
9,12,ウンディーネLv.2,3,15,0.72%
9,12,ゾンビLv.2,80,20,19.23%
9,12,動く甲冑Lv.1,100,20,24.04%
9,12,トロールLv.1,50,21,12.02%
9,12,ピクシーLv.1,100,18,24.04%
9,12,コボルトLv.1,80,8,19.23%
13,15,ウンディーネLv.1,3,10,0.89%
13,15,ウンディーネLv.2,3,15,0.89%
13,15,コボルトLv.1,80,8,23.81%
13,15,ゾンビLv.2,50,20,14.88%
13,15,狼Lv.2,100,22,29.76%
13,15,トロールLv.1,50,21,14.88%
13,15,サムライLv.1,50,17,14.88%
16,19,ウンディーネLv.1,3,10,0.66%
16,19,ウンディーネLv.2,3,15,0.66%
16,19,死神Lv.1,200,23,43.86%
16,19,大蛇Lv.2,250,24,54.82%
20,22,ウンディーネLv.1,3,10,0.84%
20,22,ウンディーネLv.2,3,15,0.84%
20,22,バットLv.3,100,30,28.09%
20,22,ドラゴンLv.1,100,30,28.09%
20,22,ゴブリンLv.2,50,25,14.04%
20,22,グレンデルLv.1,100,28,28.09%
23,26,ウンディーネLv.1,3,10,0.89%
23,26,ウンディーネLv.2,3,15,0.89%
23,26,ガルーダLv.1,100,32,29.76%
23,26,スナイパーLv.1,100,35,29.76%
23,26,マタンゴLv.3,50,24,14.88%
23,26,ゾンビLv.2,30,20,8.93%
23,26,サモナーLv.1,50,26,14.88%
27,30,ウンディーネLv.1,3,10,0.82%
27,30,ウンディーネLv.2,3,15,0.82%
27,30,サムライLv.2,100,36,27.32%
27,30,スライムLv.3,100,37,27.32%
27,30,ゴーストLv.2,60,31,16.39%
27,30,ドラゴンLv.1,50,30,13.66%
27,30,バットLv.3,50,30,13.66%
31,34,ウンディーネLv.3,3,45,0.85%
31,34,吸血草Lv.2,100,38,28.33%
31,34,アメーバLv.2,100,39,28.33%
31,34,バットLv.3,50,30,14.16%
31,34,狼Lv.2,20,22,5.67%
31,34,サムライLv.2,80,36,22.66%
35,37,ウンディーネLv.3,3,45,0.74%
35,37,エルフLv.1,100,42,24.81%
35,37,老師Lv.1,100,41,24.81%
35,37,動く甲冑Lv.2,100,40,24.81%
35,37,スナイパーLv.1,50,35,12.41%
35,37,コボルトLv.2,50,35,12.41%
38,40,ウンディーネLv.3,3,45,0.74%
38,40,動く甲冑Lv.2,50,40,12.41%
38,40,老師Lv.1,50,41,12.41%
38,40,火薬学士Lv.2,100,46,24.81%
38,40,ガストLv.1,100,48,24.81%
38,40,ゴブリンLv.3,100,50,24.81%
41,43,ウンディーネLv.3,3,45,0.74%
41,43,ゴブリンLv.3,80,50,19.85%
41,43,スナイパーLv.2,100,55,24.81%
41,43,ゾンビLv.3,100,56,24.81%
41,43,ガストLv.1,70,48,17.37%
41,43,老師Lv.1,50,41,12.41%
44,45,ウンディーネLv.3,3,45,1.06%
44,45,ゾンビLv.3,80,56,28.27%
44,45,ハルピュイアLv.2,100,51,35.34%
44,45,ハルピュイアLv.3,40,60,14.13%
44,45,コボルトLv.3,60,54,21.20%
46,50,スライムLv.1,3,1,0.74%
46,50,ドラゴンLv.2,100,65,24.81%
46,50,死神Lv.2,100,66,24.81%
46,50,ガルーダLv.2,100,68,24.81%
46,50,ゴーストLv.3,100,69,24.81%
