ItemMasterID,ItemProbability,出現確率
ヒールポーション,100,1.89%
メガヒールポーション,50,0.95%
ギガヒールポーション,30,0.57%
アーマーポーション,100,1.89%
メガアーマーポーション,50,0.95%
ギガアーマーポーション,30,0.57%
再生付与の薬,80,1.51%
鋭利付与の薬,80,1.51%
硬化付与の薬,80,1.51%
透視付与の薬,50,0.95%
罠師付与の薬,50,0.95%
幸福付与の薬,50,0.95%
毒付与の薬,50,0.95%
呆け付与の薬,50,0.95%
負傷打消の薬,50,0.95%
鈍ら付与の薬,50,0.95%
恐怖付与の薬,50,0.95%
封印付与の薬,50,0.95%
混乱付与の薬,50,0.95%
再生打消の薬,50,0.95%
鋭利打消の薬,50,0.95%
硬化打消の薬,50,0.95%
透視打消の薬,50,0.95%
罠師打消の薬,50,0.95%
幸福打消の薬,50,0.95%
毒打消の薬,80,1.51%
呆け打消の薬,80,1.51%
負傷打消の薬,80,1.51%
鈍ら打消の薬,80,1.51%
恐怖打消の薬,50,0.95%
封印打消の薬,50,0.95%
混乱打消の薬,50,0.95%
エックスレイポーション,50,0.95%
アナライシスポーション,50,0.95%
ドレインポーション,50,0.95%
ブレイクポーション,50,0.95%
アルケミポーション,50,0.95%
バックポーション,50,0.95%
プロシードポーション,50,0.95%
帰還の聖水,50,0.95%
水,50,0.95%
こん棒,50,0.95%
鉄の剣,50,0.95%
鋼の剣,50,0.95%
鋼鉄の剣,50,0.95%
蛇の剣,50,0.95%
蜻蛉切,50,0.95%
パルチザン,50,0.95%
キセル,50,0.95%
懐刀,50,0.95%
世界樹の杖,50,0.95%
七星剣,50,0.95%
ワザモノツルギ,50,0.95%
ククリ,50,0.95%
ヘドロの剣,30,0.57%
惑わしの杖,30,0.57%
恐喝剣,30,0.57%
六芒星の剣,30,0.78%
幸運の剣,30,0.57%
ガラドール,50,0.95%
鍛錬の剣,30,0.78%
銭刀,50,0.95%
十手,50,0.95%
木の盾,50,0.95%
鉄の盾,50,0.95%
鋼の盾,50,0.95%
鋼鉄の盾,50,0.95%
再生の盾,25,0.47%
ヒーターシールド,50,0.95%
カイトシールド,50,0.95%
回復の盾,50,0.95%
タージェ,50,0.95%
軍配団扇,50,0.95%
ライオットシールド,50,0.95%
剣盾,50,0.95%
身かわしの盾,50,0.95%
免疫の盾,50,0.95%
ミラーシールド,50,0.95%
鍛錬の盾,25,0.47%
小判盾,50,0.95%
ワクチンの盾,50,0.95%
カフェインの盾,50,0.95%
ガマ油の盾,50,0.95%
メッキの盾,50,0.95%
桃太郎の盾,30,0.57%
六芒星の盾,30,0.57%
司令塔の盾,30,0.57%
ガラスのネックレス,10,0.19%
ルビーのネックレス,50,0.95%
ダイヤのネックレス,50,0.95%
増進の指輪,50,0.95%
軍神の指輪,50,0.95%
白盾の指輪,50,0.95%
糸通師の指輪,50,0.95%
舞踊の指輪,50,0.95%
打ち出の小槌,50,0.95%
木の矢,50,0.95%
鉄の矢,50,0.95%
ショットガン,50,0.95%
SAA,50,0.95%
爆弾,50,0.95%
鈍らの魔法石,30,0.57%
負傷の魔法石,30,0.57%
恐怖の魔法石,30,0.57%
封印の魔法石,30,0.57%
混乱の魔法石,20,0.38%
肩代の魔法石,20,0.38%
状態異常の魔法石,40,0.76%
通行の魔法石,40,0.76%
