MIN,MAX,Enemy,Weight,出現エリア想定,出現確率
1,1,スライムLv.1,100,1,50.00%
1,1,マタンゴLv.1,100,1,50.00%
2,3,アーリマンLv.1,100,2,33.33%
2,3,ゴブリンLv.1,200,3,66.67%
4,5,ゾンビLv.1,100,4,35.71%
4,5,バットLv.1,100,5,35.71%
4,5,ゴーストLv.1,80,6,28.57%
6,7,スライムLv.2,100,7,33.33%
6,7,火薬学士Lv.1,100,6,33.33%
6,7,大蛇Lv.1,100,10,33.33%
8,10,大蛇Lv.1,30,10,14.29%
8,10,タイタンLv.1,100,9,47.62%
8,10,コボルトLv.1,80,8,38.10%
11,12,アーリマンLv.2,100,11,50.00%
11,12,アメーバLv.1,100,12,50.00%
13,14,リザードマンLv.1,100,13,47.62%
13,14,マタンゴLv.2,100,14,47.62%
13,14,ウンディーネLv.1,10,10,4.76%
15,16,吸血草Lv.1,100,16,50.00%
15,16,マタンゴLv.2,100,14,50.00%
17,18,サムライLv.1,100,17,33.33%
17,18,ピクシーLv.1,100,18,33.33%
17,18,コボルトLv.1,100,8,33.33%
19,20,バットLv.2,100,19,33.33%
19,20,ゾンビLv.2,100,20,33.33%
19,20,動く甲冑Lv.1,100,20,33.33%
