MIN,MAX,ID
1,3,Dungeon1
1,3,Dungeon2
1,3,Dungeon3
4,6,Dungeon1
4,6,Dungeon2
4,6,Dungeon3
7,10,Dungeon1
7,10,Dungeon2
7,10,Dungeon3
11,13,Dungeon4
11,13,Dungeon5
11,13,Dungeon6
11,13,Dungeon7
11,13,Dungeon8
11,13,Dungeon9
11,13,Dungeon10
14,16,Dungeon4
14,16,Dungeon5
14,16,Dungeon6
14,16,Dungeon7
14,16,Dungeon8
14,16,Dungeon9
14,16,Dungeon10
17,19,Dungeon4
17,19,Dungeon5
17,19,Dungeon6
17,19,Dungeon7
17,19,Dungeon8
17,19,Dungeon9
17,19,Dungeon10
20,22,Dungeon4
20,22,Dungeon5
20,22,Dungeon6
20,22,Dungeon7
20,22,Dungeon8
20,22,Dungeon9
20,22,Dungeon10
23,25,Dungeon4
23,25,Dungeon5
23,25,Dungeon6
23,25,Dungeon7
23,25,Dungeon8
23,25,Dungeon9
23,25,Dungeon10
26,28,Dungeon4
26,28,Dungeon5
26,28,Dungeon6
26,28,Dungeon7
26,28,Dungeon8
26,28,Dungeon9
26,28,Dungeon10
29,31,Dungeon4
29,31,Dungeon5
29,31,Dungeon6
29,31,Dungeon7
29,31,Dungeon8
29,31,Dungeon9
29,31,Dungeon10
32,34,Dungeon4
32,34,Dungeon5
32,34,Dungeon6
32,34,Dungeon7
32,34,Dungeon8
32,34,Dungeon9
32,34,Dungeon10
35,37,Dungeon4
35,37,Dungeon5
35,37,Dungeon6
35,37,Dungeon7
35,37,Dungeon8
35,37,Dungeon9
35,37,Dungeon10
38,40,Dungeon4
38,40,Dungeon5
38,40,Dungeon6
38,40,Dungeon7
38,40,Dungeon8
38,40,Dungeon9
38,40,Dungeon10
41,43,Dungeon4
41,43,Dungeon5
41,43,Dungeon6
41,43,Dungeon7
41,43,Dungeon8
41,43,Dungeon9
41,43,Dungeon10
44,46,Dungeon4
44,46,Dungeon5
44,46,Dungeon6
44,46,Dungeon7
44,46,Dungeon8
44,46,Dungeon9
44,46,Dungeon10
47,49,Dungeon4
47,49,Dungeon5
47,49,Dungeon6
47,49,Dungeon7
47,49,Dungeon8
47,49,Dungeon9
47,49,Dungeon10
50,52,Dungeon4
50,52,Dungeon5
50,52,Dungeon6
50,52,Dungeon7
50,52,Dungeon8
50,52,Dungeon9
50,52,Dungeon10
53,55,Dungeon4
53,55,Dungeon5
53,55,Dungeon6
53,55,Dungeon7
53,55,Dungeon8
53,55,Dungeon9
53,55,Dungeon10
56,58,Dungeon4
56,58,Dungeon5
56,58,Dungeon6
56,58,Dungeon7
56,58,Dungeon8
56,58,Dungeon9
56,58,Dungeon10
59,61,Dungeon4
59,61,Dungeon5
59,61,Dungeon6
59,61,Dungeon7
59,61,Dungeon8
59,61,Dungeon9
59,61,Dungeon10
62,64,Dungeon4
62,64,Dungeon5
62,64,Dungeon6
62,64,Dungeon7
62,64,Dungeon8
62,64,Dungeon9
62,64,Dungeon10
65,67,Dungeon4
65,67,Dungeon5
65,67,Dungeon6
65,67,Dungeon7
65,67,Dungeon8
65,67,Dungeon9
65,67,Dungeon10
68,70,Dungeon4
68,70,Dungeon5
68,70,Dungeon6
68,70,Dungeon7
68,70,Dungeon8
68,70,Dungeon9
68,70,Dungeon10
71,73,Dungeon4
71,73,Dungeon5
71,73,Dungeon6
71,73,Dungeon7
71,73,Dungeon8
71,73,Dungeon9
71,73,Dungeon10
74,76,Dungeon4
74,76,Dungeon5
74,76,Dungeon6
74,76,Dungeon7
74,76,Dungeon8
74,76,Dungeon9
74,76,Dungeon10
77,79,Dungeon4
77,79,Dungeon5
77,79,Dungeon6
77,79,Dungeon7
77,79,Dungeon8
77,79,Dungeon9
77,79,Dungeon10
80,82,Dungeon4
80,82,Dungeon5
80,82,Dungeon6
80,82,Dungeon7
80,82,Dungeon8
80,82,Dungeon9
80,82,Dungeon10
83,85,Dungeon4
83,85,Dungeon5
83,85,Dungeon6
83,85,Dungeon7
83,85,Dungeon8
83,85,Dungeon9
83,85,Dungeon10
86,88,Dungeon4
86,88,Dungeon5
86,88,Dungeon6
86,88,Dungeon7
86,88,Dungeon8
86,88,Dungeon9
86,88,Dungeon10
89,91,Dungeon4
89,91,Dungeon5
89,91,Dungeon6
89,91,Dungeon7
89,91,Dungeon8
89,91,Dungeon9
92,94,Dungeon10
92,94,Dungeon4
92,94,Dungeon5
92,94,Dungeon6
92,94,Dungeon7
92,94,Dungeon8
92,94,Dungeon9
92,94,Dungeon10
95,97,Dungeon4
95,97,Dungeon5
95,97,Dungeon6
95,97,Dungeon7
95,97,Dungeon8
95,97,Dungeon9
95,97,Dungeon10
98,99,Dungeon4
98,99,Dungeon5
98,99,Dungeon6
98,99,Dungeon7
98,99,Dungeon8
98,99,Dungeon9
98,99,Dungeon10
