ItemMasterID,ItemProbability,出現確率
ヒールポーション,100,3.24%
メガヒールポーション,50,1.62%
ギガヒールポーション,50,1.62%
アーマーポーション,100,3.24%
メガアーマーポーション,50,1.62%
ギガアーマーポーション,50,1.62%
再生付与の薬,80,2.59%
鋭利付与の薬,80,2.59%
硬化付与の薬,80,2.59%
透視付与の薬,50,1.62%
罠師付与の薬,50,1.62%
幸福付与の薬,50,1.62%
毒付与の薬,50,1.62%
呆け付与の薬,50,1.62%
負傷付与の薬,50,1.62%
鈍ら付与の薬,50,1.62%
恐怖付与の薬,50,1.62%
封印付与の薬,50,1.62%
混乱付与の薬,50,1.62%
再生打消の薬,50,1.62%
鋭利打消の薬,50,1.62%
硬化打消の薬,50,1.62%
透視打消の薬,50,1.62%
罠師打消の薬,50,1.62%
幸福打消の薬,50,1.62%
毒打消の薬,80,2.59%
呆け打消の薬,80,2.59%
負傷打消の薬,80,2.59%
鈍ら打消の薬,80,2.59%
恐怖打消の薬,50,1.62%
封印打消の薬,50,1.62%
混乱打消の薬,50,1.62%
エックスレイポーション,50,1.62%
アナライシスポーション,50,1.62%
ドレインポーション,50,1.62%
ブレイクポーション,50,1.62%
アルケミポーション,50,1.62%
マタタビポーション,20,0.65%
バックポーション,50,1.62%
プロシードポーション,50,1.62%
オンディーヌの雫,20,0.65%
オンディーヌの涙,20,0.65%
オンディーヌの血,20,0.65%
帰還の聖水,50,1.62%
水,50,1.62%
鈍らの魔法石,50,1.62%
負傷の魔法石,50,1.62%
恐怖の魔法石,50,1.62%
封印の魔法石,50,1.62%
混乱の魔法石,40,1.30%
肩代の魔法石,40,1.30%
状態異常の魔法石,50,1.62%
蛞蝓の魔法石,50,1.62%
ウンディーネの魔法石,50,1.62%
オンディーヌの魔法石,50,1.62%
通行の魔法石,55,1.78%
変異の魔法石,55,1.78%
能力付与の魔法石,55,1.78%
