MIN,MAX,Probability,ItemMasterID,ItemProbability,出現確率
5,90,10,ヒールポーション,200,5.00%
5,90,10,メガヒールポーション,150,3.75%
5,90,10,ギガヒールポーション,100,2.50%
5,90,10,アーマーポーション,200,5.00%
5,90,10,メガアーマーポーション,150,3.75%
5,90,10,ギガアーマーポーション,100,2.50%
5,90,10,再生付与の薬,70,1.75%
5,90,10,鋭利付与の薬,70,1.75%
5,90,10,硬化付与の薬,70,1.75%
5,90,10,透視付与の薬,70,1.75%
5,90,10,罠師付与の薬,70,1.75%
5,90,10,幸福付与の薬,70,1.75%
5,90,10,毒付与の薬,70,1.75%
5,90,10,呆け付与の薬,70,1.75%
5,90,10,負傷付与の薬,70,1.75%
5,90,10,鈍ら付与の薬,70,1.75%
5,90,10,恐怖付与の薬,70,1.75%
5,90,10,封印付与の薬,70,1.75%
5,90,10,混乱付与の薬,70,1.75%
5,90,10,再生打消の薬,70,1.75%
5,90,10,鋭利打消の薬,70,1.75%
5,90,10,硬化打消の薬,70,1.75%
5,90,10,透視打消の薬,70,1.75%
5,90,10,罠師打消の薬,70,1.75%
5,90,10,幸福打消の薬,70,1.75%
5,90,10,毒打消の薬,70,1.75%
5,90,10,呆け打消の薬,70,1.75%
5,90,10,負傷打消の薬,70,1.75%
5,90,10,鈍ら打消の薬,70,1.75%
5,90,10,恐怖打消の薬,70,1.75%
5,90,10,封印打消の薬,70,1.75%
5,90,10,混乱打消の薬,70,1.75%
5,90,10,エックスレイポーション,90,2.25%
5,90,10,アナライシスポーション,90,2.25%
5,90,10,ドレインポーション,90,2.25%
5,90,10,ブレイクポーション,90,2.25%
5,90,10,ウンディーネの雫,90,2.25%
5,90,10,ウンディーネの涙,90,2.25%
5,90,10,ウンディーネの血,90,2.25%
5,90,10,アルケミポーション,90,2.25%
5,90,10,マタタビポーション,90,2.25%
5,90,10,バックポーション,90,2.25%
5,90,10,プロシードポーション,90,2.25%
5,90,10,オンディーヌの雫,50,1.25%
5,90,10,オンディーヌの涙,50,1.25%
5,90,10,オンディーヌの血,50,1.25%
5,90,10,帰還の聖水,70,1.75%
5,90,10,水,70,1.75%
99,99,100,千里眼の指輪,100,100.00%
