MIN,MAX,Enemy,Weight,出現エリア想定,出現確率
1,1,スライムLv.1,100,1,22.73%
1,1,マタンゴLv.1,100,1,22.73%
1,1,アーリマンLv.1,100,2,22.73%
1,1,ゴブリンLv.1,80,3,18.18%
1,1,ゾンビLv.1,60,4,13.64%
2,3,ゴブリンLv.1,100,3,50.00%
2,3,ゾンビLv.1,100,4,50.00%
4,6,ゾンビLv.1,100,4,24.39%
4,6,バットLv.1,100,5,24.39%
4,6,ゴーストLv.1,100,6,24.39%
4,6,スライムLv.2,60,7,14.63%
4,6,火薬学士Lv.1,50,6,12.20%
7,8,コボルトLv.1,100,8,23.26%
7,8,火薬学士Lv.1,100,6,23.26%
7,8,スライムLv.2,100,7,23.26%
7,8,タイタンLv.1,80,9,18.60%
7,8,ケットシーLv.1,50,10,11.63%
9,10,スライムLv.2,100,7,19.61%
9,10,タイタンLv.1,100,9,19.61%
9,10,大蛇Lv.1,100,10,19.61%
9,10,ケットシーLv.1,100,10,19.61%
9,10,アーリマンLv.2,100,11,19.61%
9,10,ウンディーネLv.1,10,10,1.96%
11,12,アメーバLv.1,100,12,28.57%
11,12,リザードマンLv.1,100,13,28.57%
11,12,マタンゴLv.2,60,14,17.14%
11,12,ケットシーLv.1,80,10,22.86%
11,12,ウンディーネLv.1,10,10,2.86%
13,14,リザードマンLv.1,100,13,47.62%
13,14,吸血草Lv.1,100,16,47.62%
13,14,ウンディーネLv.1,10,10,4.76%
15,16,コボルトLv.1,70,8,39.77%
15,16,ビショップLv.2,100,16,56.82%
15,16,ウンディーネLv.1,6,10,3.41%
17,18,サムライLv.1,100,17,25.00%
17,18,バットLv.2,100,19,25.00%
17,18,バロールLv.1,100,19,25.00%
17,18,ゾンビLv.2,100,20,25.00%
19,19,トロールLv.1,100,21,50.00%
19,19,コボルトLv.1,100,8,50.00%
20,21,狼Lv.2,100,22,25.00%
20,21,動く甲冑Lv.1,100,20,25.00%
20,21,死神Lv.1,100,23,25.00%
20,21,マタンゴLv.3,100,24,25.00%
22,23,大蛇Lv.2,100,24,35.71%
22,23,狼Lv.2,60,22,21.43%
