ItemMasterID,ItemProbability,出現確率
ヒールポーション,100,2.07%
メガヒールポーション,50,1.04%
ギガヒールポーション,30,0.62%
アーマーポーション,100,2.07%
メガアーマーポーション,50,1.04%
ギガアーマーポーション,30,0.62%
再生付与の薬,80,1.66%
鋭利付与の薬,80,1.66%
硬化付与の薬,80,1.66%
透視付与の薬,50,1.04%
罠師付与の薬,50,1.04%
幸福付与の薬,50,1.04%
毒打消の薬,80,1.66%
呆け打消の薬,80,1.66%
負傷打消の薬,80,1.66%
鈍ら打消の薬,80,1.66%
恐怖打消の薬,50,1.04%
封印打消の薬,50,1.04%
混乱打消の薬,50,1.04%
毒付与の薬,50,1.04%
呆け付与の薬,50,1.04%
負傷付与の薬,50,1.04%
鈍ら付与の薬,50,1.04%
恐怖付与の薬,50,1.04%
封印付与の薬,50,1.04%
混乱付与の薬,50,1.04%
再生打消の薬,50,1.04%
鋭利打消の薬,50,1.04%
硬化打消の薬,50,1.04%
透視打消の薬,50,1.04%
罠師打消の薬,50,1.04%
幸福打消の薬,50,1.04%
エックスレイポーション,50,1.04%
アナライシスポーション,50,1.04%
ドレインポーション,50,1.04%
ブレイクポーション,50,1.04%
アルケミポーション,50,1.04%
バックポーション,50,1.04%
プロシードポーション,50,1.04%
帰還の聖水,50,1.04%
水,50,1.04%
こん棒,50,1.04%
鉄の剣,50,1.04%
鋼の剣,50,1.04%
鋼鉄の剣,50,1.04%
蛇の剣,50,1.04%
蜻蛉切,50,1.04%
パルチザン,50,1.04%
七星剣,50,1.04%
キセル,50,1.04%
ククリ,50,1.04%
懐刀,50,1.04%
世界樹の杖,50,1.04%
ワザモノツルギ,50,1.04%
ヘドロの剣,30,0.62%
惑わしの杖,30,0.62%
恐喝剣,30,0.62%
六芒星の剣,30,0.78%
幸運の剣,30,0.62%
ガラドール,50,1.04%
銭刀,50,1.04%
十手,50,1.04%
鍛錬の剣,30,0.78%
木の盾,50,1.04%
鉄の盾,50,1.04%
鋼の盾,50,1.04%
鋼鉄の盾,50,1.04%
ヒーターシールド,50,1.04%
カイトシールド,50,1.04%
回復の盾,50,1.04%
タージェ,50,1.04%
軍配団扇,50,1.04%
ライオットシールド,50,1.04%
剣盾,50,1.04%
身かわしの盾,50,1.04%
免疫の盾,50,1.04%
ミラーシールド,50,1.04%
鍛錬の盾,30,0.62%
小判盾,50,1.04%
ワクチンの盾,50,1.04%
カフェインの盾,50,1.04%
ガマ油の盾,50,1.04%
メッキの盾,50,1.04%
桃太郎の盾,30,0.62%
六芒星の盾,30,0.62%
司令塔の盾,30,0.62%
ガラスのネックレス,50,1.04%
ルビーのネックレス,50,1.04%
ダイヤのネックレス,50,1.04%
増進の指輪,50,1.04%
軍神の指輪,50,1.04%
白盾の指輪,50,1.04%
糸通師の指輪,50,1.04%
舞踊の指輪,50,1.04%
打ち出の小槌,50,1.04%
