MIN,MAX,Probability,ItemMasterID,ItemProbability,出現確率
1,1,100,ヒールポーション,100,4.50%
1,1,100,メガヒールポーション,80,3.60%
1,1,100,ギガヒールポーション,60,2.70%
1,1,100,アーマーポーション,100,4.50%
1,1,100,メガアーマーポーション,80,3.60%
1,1,100,ギガアーマーポーション,60,2.70%
1,1,100,再生付与の薬,60,2.70%
1,1,100,鋭利付与の薬,60,2.70%
1,1,100,硬化付与の薬,60,2.70%
1,1,100,透視付与の薬,60,2.70%
1,1,100,罠師付与の薬,60,2.70%
1,1,100,幸福付与の薬,60,2.70%
1,1,100,毒付与の薬,60,2.70%
1,1,100,帰還の聖水,100,4.50%
1,1,100,水,1,0.04%
1,1,100,鋼の剣,100,4.50%
1,1,100,鋼鉄の剣,80,3.60%
1,1,100,蜻蛉切,60,2.70%
1,1,100,ククリ,40,1.80%
1,1,100,ガラドール,50,2.25%
1,1,100,蛇の剣,60,2.70%
1,1,100,鍛錬の剣,40,1.80%
1,1,100,怪剣シュテンドウジ,1,0.04%
1,1,100,鋼の盾,100,4.50%
1,1,100,鋼鉄の盾,80,3.60%
1,1,100,ヒーターシールド,60,2.70%
1,1,100,回復の盾,40,1.80%
1,1,100,免疫の盾,50,2.25%
1,1,100,ワクチンの盾,40,1.80%
1,1,100,金剛タマモノマエ,1,0.04%
1,1,100,ガラスのネックレス,80,3.60%
1,1,100,ルビーのネックレス,60,2.70%
1,1,100,ダイヤのネックレス,40,1.80%
1,1,100,木の矢,80,3.60%
1,1,100,鉄の矢,80,3.60%
1,1,100,ショットガン,80,3.60%
